INFO 2026-01-29 11:14:29,641 autoreload Watching for file changes with StatReloader
INFO 2026-01-29 11:24:13,273 log "GET /static/admin/js/filters.js HTTP/1.1" 200 978
INFO 2026-01-29 11:24:13,278 log "GET /static/admin/img/tooltag-add.svg HTTP/1.1" 200 593
INFO 2026-01-29 11:24:13,279 log "GET /static/admin/img/icon-viewlink.svg HTTP/1.1" 200 928
INFO 2026-01-29 11:24:13,279 log "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 200 593
INFO 2026-01-29 11:24:13,279 log "GET /static/admin/img/sorting-icons.svg HTTP/1.1" 200 1761
WARNING 2026-01-29 11:24:13,298 log Not Found: /favicon.ico
WARNING 2026-01-29 11:24:13,298 log "GET /favicon.ico HTTP/1.1" 404 4286
INFO 2026-01-29 11:24:18,519 log "GET /admin/hackathon/application/21/change/ HTTP/1.1" 200 25253
INFO 2026-01-29 11:24:18,544 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-01-29 11:31:55,866 log "GET /admin/hackathon/application/ HTTP/1.1" 200 34823
INFO 2026-01-29 11:31:56,552 log "GET /admin/hackathon/application/ HTTP/1.1" 200 34823
INFO 2026-01-29 11:31:56,565 log "GET /static/admin/css/base.css HTTP/1.1" 304 0
INFO 2026-01-29 11:31:56,566 log "GET /static/admin/css/dark_mode.css HTTP/1.1" 304 0
INFO 2026-01-29 11:31:56,568 log "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 304 0
INFO 2026-01-29 11:31:56,568 log "GET /static/admin/css/forms.css HTTP/1.1" 304 0
INFO 2026-01-29 11:31:56,568 log "GET /static/admin/css/changelists.css HTTP/1.1" 304 0
INFO 2026-01-29 11:31:56,568 log "GET /static/admin/js/theme.js HTTP/1.1" 304 0
INFO 2026-01-29 11:31:56,571 log "GET /static/admin/css/responsive.css HTTP/1.1" 304 0
INFO 2026-01-29 11:31:56,571 log "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 304 0
INFO 2026-01-29 11:31:56,572 log "GET /static/admin/js/core.js HTTP/1.1" 304 0
INFO 2026-01-29 11:31:56,573 log "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 304 0
INFO 2026-01-29 11:31:56,573 log "GET /static/admin/js/actions.js HTTP/1.1" 304 0
INFO 2026-01-29 11:31:56,574 log "GET /static/admin/js/urlify.js HTTP/1.1" 304 0
INFO 2026-01-29 11:31:56,574 log "GET /static/admin/js/prepopulate.js HTTP/1.1" 304 0
INFO 2026-01-29 11:31:56,575 log "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 304 0
INFO 2026-01-29 11:31:56,575 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
